Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,38,0,16.4,2.7,5.7,.475,0.4,1.4,.264,2.3,4.3,.543,.507,0.7,1.2,.587,2.1,3.2,5.3,1.4,0.5,0.5,1.0,1.6,6.5,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,achiupr01
1,Precious Achiuwa,PF,24,NYK,13,0,14.3,1.9,3.6,.532,0.1,0.5,.167,1.8,3.2,.585,.543,0.2,0.3,.750,2.3,2.7,5.0,0.6,0.2,0.6,0.7,1.5,4.2,achiupr01
2,Bam Adebayo,C,26,MIA,35,35,35.0,7.8,15.6,.500,0.0,0.3,.091,7.8,15.3,.508,.501,5.7,7.3,.780,2.3,8.2,10.5,4.3,1.1,1.0,2.5,2.5,21.3,adebaba01
3,Ochai Agbaji,SG,23,UTA,46,10,20.1,2.2,5.1,.429,1.0,2.9,.328,1.2,2.2,.566,.524,0.3,0.4,.750,0.7,1.8,2.6,0.9,0.6,0.6,0.7,1.4,5.6,agbajoc01
4,Santi Aldama,PF,23,MEM,34,8,23.4,3.9,9.0,.439,1.5,4.6,.335,2.4,4.4,.547,.525,1.0,1.6,.618,1.2,4.4,5.6,1.9,0.6,0.7,1.1,1.6,10.4,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,45,14,22.5,2.4,5.6,.430,1.4,3.7,.369,1.0,1.8,.554,.554,0.4,0.6,.690,0.4,1.4,1.8,2.5,0.9,0.6,0.9,1.8,6.6,alexani01
6,Grayson Allen,SG,28,PHO,40,40,33.5,4.6,9.0,.514,2.8,5.6,.496,1.8,3.4,.545,.669,1.7,1.8,.904,0.8,3.4,4.2,2.9,0.9,0.6,1.5,2.2,13.6,allengr01
7,Jarrett Allen,C,25,CLE,38,38,30.4,6.2,9.6,.649,0.0,0.0,.000,6.2,9.6,.651,.649,2.7,3.6,.756,3.6,6.8,10.4,3.0,0.9,1.1,1.8,2.4,15.2,allenja01
8,Jose Alvarado,PG,25,NOP,28,0,15.9,2.4,6.0,.407,1.3,3.5,.381,1.1,2.5,.443,.518,0.7,1.1,.645,0.4,1.7,2.1,1.8,1.0,0.4,0.8,1.4,6.9,alvarjo01
9,Kyle Anderson,PF,30,MIN,45,2,22.5,2.4,5.3,.464,0.1,0.6,.172,2.3,4.6,.505,.475,1.4,2.0,.693,0.7,2.8,3.5,4.0,0.8,0.6,1.3,1.6,6.4,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,43,43,35.2,11.6,19.1,.607,0.4,1.7,.240,11.2,17.3,.643,.618,7.5,11.2,.665,2.7,9.0,11.7,6.3,1.3,1.1,3.7,3.0,31.0,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,18,0,4.1,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.8,0.8,antetth01
12,Cole Anthony,PG,23,ORL,44,0,24.2,4.4,10.2,.429,1.2,3.6,.323,3.2,6.6,.486,.485,2.9,3.5,.831,1.0,3.2,4.2,3.3,0.8,0.5,1.8,2.5,12.8,anthoco01
13,OG Anunoby,SF,26,TOT,40,40,34.2,5.8,11.6,.496,2.1,5.6,.378,3.7,6.1,.603,.586,1.6,2.0,.790,1.0,3.3,4.3,2.2,1.3,0.7,1.5,2.4,15.2,anunoog01
13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,anunoog01
13,OG Anunoby,SF,26,NYK,13,13,35.9,5.6,11.0,.510,1.8,4.5,.390,3.8,6.5,.595,.591,2.4,2.7,.886,1.2,3.8,4.9,1.3,1.8,1.2,1.4,2.5,15.4,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,17,0,2.5,0.0,0.4,.000,0.0,0.4,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.0,0.3,0.0,arcidry01
15,Deni Avdija,SF,23,WAS,44,44,27.5,4.6,9.3,.501,1.0,2.7,.373,3.6,6.6,.554,.555,2.2,2.9,.772,1.0,5.2,6.2,4.0,0.9,0.4,1.8,2.5,12.5,avdijde01
16,Deandre Ayton,C,25,POR,29,29,31.6,5.9,11.0,.538,0.0,0.0,,5.9,11.0,.538,.538,1.1,1.4,.775,3.3,7.3,10.6,1.6,1.1,0.7,2.0,2.4,12.9,aytonde01
17,Udoka Azubuike,C,24,PHO,11,0,8.3,1.4,1.7,.789,0.0,0.0,,1.4,1.7,.789,.789,0.3,0.8,.333,0.8,1.5,2.3,0.3,0.0,0.5,0.4,1.5,3.0,azubuud01
18,Ibou Badji,C,21,POR,12,1,13.6,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.3,0.5,.500,1.5,2.2,3.7,0.7,0.2,1.4,0.8,2.7,1.8,badjiib01
19,Marvin Bagley III,C,24,TOT,31,12,19.8,4.5,7.7,.592,0.1,0.3,.222,4.5,7.4,.607,.597,2.2,2.9,.736,2.3,3.1,5.4,1.1,0.3,0.5,1.2,1.8,11.3,baglema01
19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,baglema01
19,Marvin Bagley III,C,24,WAS,5,2,27.0,6.8,11.4,.596,0.2,0.6,.333,6.6,10.8,.611,.605,3.4,6.0,.567,5.0,4.6,9.6,1.2,0.8,0.6,1.4,3.2,17.2,baglema01
20,Amari Bailey,PG,19,CHO,2,0,5.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.5,1.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,15,0,6.9,0.9,2.1,.452,0.6,1.1,.529,0.3,0.9,.357,.597,0.5,0.7,.700,0.3,1.6,1.9,0.4,0.1,0.2,0.3,1.1,2.9,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,ballla01
23,Mo Bamba,C,25,PHI,24,0,9.0,1.6,3.0,.549,0.4,0.8,.556,1.2,2.2,.547,.620,0.6,0.9,.667,1.4,1.7,3.0,0.5,0.4,0.8,0.6,1.2,4.3,bambamo01
24,Paolo Banchero,PF,21,ORL,45,45,34.8,8.0,17.9,.449,1.4,4.1,.348,6.6,13.8,.479,.489,5.2,7.4,.701,1.2,5.8,7.0,4.9,1.0,0.6,3.2,2.1,22.6,banchpa01
25,Desmond Bane,SG,25,MEM,37,37,34.5,8.9,18.8,.474,3.3,8.6,.384,5.6,10.2,.551,.563,3.3,3.8,.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4,banede01
26,Dalano Banton,PG,24,BOS,21,1,7.1,0.9,2.0,.419,0.1,0.6,.167,0.8,1.5,.516,.442,0.7,0.9,.778,0.6,1.0,1.6,0.6,0.2,0.1,0.4,1.0,2.5,bantoda01
27,Dominick Barlow,PF,20,SAS,19,1,12.8,1.6,3.6,.456,0.2,0.4,.429,1.5,3.2,.459,.478,0.7,1.2,.591,1.2,2.2,3.4,1.1,0.4,0.5,0.2,1.3,4.1,barlodo01
28,Harrison Barnes,PF,31,SAC,43,43,29.3,4.0,8.2,.483,1.9,4.5,.410,2.1,3.7,.572,.596,1.9,2.3,.828,0.9,2.0,2.8,1.2,0.7,0.2,0.7,1.3,11.7,barneha02
29,Scottie Barnes,SG,22,TOR,45,45,35.2,7.6,15.9,.478,2.0,5.4,.363,5.6,10.4,.538,.541,3.1,4.1,.754,2.3,6.1,8.4,5.7,1.3,1.5,2.6,2.0,20.2,barnesc01
30,RJ Barrett,SG,23,TOT,39,39,30.8,6.9,14.8,.465,1.6,4.6,.339,5.3,10.2,.521,.517,3.8,5.0,.763,0.8,4.4,5.2,2.8,0.5,0.4,1.8,2.1,19.2,barrerj01
30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,barrerj01
30,RJ Barrett,SG,23,TOR,13,13,33.6,8.1,14.7,.550,1.4,3.8,.360,6.7,10.8,.617,.597,3.5,5.4,.643,1.1,6.0,7.1,3.5,0.6,0.4,1.8,2.9,21.0,barrerj01
31,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3,bassech01
32,Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,.240,0.5,2.0,.250,0.1,0.5,.200,.340,0.1,0.2,.500,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8,batesem01
33,Keita Bates-Diop,SF,28,PHO,34,8,15.7,1.6,4.0,.415,0.5,1.7,.281,1.2,2.3,.513,.474,0.7,1.0,.735,0.8,1.9,2.7,0.9,0.6,0.5,0.3,0.9,4.5,bateske01
34,Nicolas Batum,PF,35,TOT,32,25,24.9,2.2,4.0,.535,1.3,2.9,.462,0.8,1.1,.722,.702,0.3,0.4,.643,1.2,2.6,3.8,2.3,0.7,0.8,0.6,2.0,5.9,batumni01
34,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7,batumni01
34,Nicolas Batum,PF,35,PHI,29,25,25.6,2.3,4.2,.545,1.4,3.0,.477,0.9,1.2,.714,.715,0.3,0.5,.643,1.3,2.7,4.0,2.4,0.7,0.7,0.7,2.0,6.3,batumni01
35,Bradley Beal,SG,30,PHO,21,21,32.6,7.0,13.9,.507,1.5,4.0,.381,5.5,9.9,.558,.562,2.2,2.9,.767,0.8,3.4,4.2,4.1,0.8,0.4,2.3,2.8,17.8,bealbr01
36,Malik Beasley,SG,27,MIL,43,43,29.4,4.1,8.5,.488,2.9,6.1,.471,1.3,2.4,.529,.656,0.3,0.4,.750,0.7,3.3,4.0,1.3,0.7,0.1,0.7,2.1,11.4,beaslma01
37,MarJon Beauchamp,SF,23,MIL,34,1,15.7,1.9,4.0,.474,0.7,1.8,.403,1.1,2.1,.534,.567,0.4,0.6,.600,0.6,1.9,2.5,0.9,0.3,0.2,0.7,1.4,4.9,beaucma01
38,Jules Bernard,SG,24,WAS,4,0,4.0,0.3,2.3,.111,0.0,1.8,.000,0.3,0.5,.500,.111,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.8,0.5,bernaju01
39,Dāvis Bertāns,PF,31,OKC,14,0,6.5,0.7,1.9,.385,0.7,1.7,.417,0.0,0.1,.000,.577,1.0,1.1,.933,0.1,0.6,0.7,0.6,0.2,0.2,0.1,0.7,3.1,bertada01
40,Patrick Beverley,PG,35,PHI,40,2,18.6,1.9,4.5,.414,0.7,2.2,.303,1.2,2.3,.522,.489,0.9,1.2,.755,0.7,2.4,3.1,2.6,0.5,0.4,0.9,1.7,5.4,beverpa01
41,Saddiq Bey,SF,24,ATL,45,33,32.4,4.4,10.6,.414,1.8,5.6,.316,2.6,5.0,.525,.498,2.2,2.7,.828,2.5,4.0,6.4,1.4,0.9,0.1,0.9,1.6,12.8,beysa01
42,Goga Bitadze,C,24,ORL,39,31,20.7,2.8,4.6,.615,0.1,0.3,.200,2.8,4.3,.639,.620,1.2,1.7,.676,2.5,3.9,6.4,1.7,0.7,1.6,0.8,2.4,6.9,bitadgo01
43,Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitimon01
44,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2,biyombi01
45,Anthony Black,PG,20,ORL,42,29,19.4,1.9,3.9,.482,0.5,1.4,.345,1.4,2.5,.557,.543,0.8,1.3,.618,0.6,1.8,2.4,1.7,0.6,0.4,1.0,2.0,5.0,blackan01
46,Leaky Black,SF,24,CHO,14,0,5.7,0.6,1.2,.529,0.2,0.4,.500,0.4,0.8,.545,.618,0.2,0.4,.500,0.4,0.8,1.1,0.4,0.2,0.3,0.1,0.5,1.7,blackle01
47,Bogdan Bogdanović,SG,31,ATL,43,5,28.3,6.0,14.1,.426,3.1,8.4,.366,2.9,5.7,.514,.535,1.8,2.0,.907,0.5,2.6,3.1,2.6,1.3,0.2,1.1,2.3,17.0,bogdabo01
48,Bojan Bogdanović,PF,34,DET,23,22,33.1,7.2,15.4,.469,3.0,7.3,.417,4.2,8.1,.516,.568,2.7,3.6,.747,0.6,3.0,3.6,2.7,0.9,0.1,2.2,2.3,20.2,bogdabo02
49,Bol Bol,PF,24,PHO,12,0,7.2,1.4,1.9,.739,0.3,0.4,.600,1.2,1.5,.778,.804,0.3,0.4,.800,0.8,1.5,2.3,0.5,0.3,0.5,0.5,0.8,3.4,bolbo01
50,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,boldema01
51,Devin Booker,PG,27,PHO,36,36,36.1,9.8,19.6,.499,2.3,5.9,.388,7.5,13.7,.548,.558,6.3,7.1,.883,0.7,4.2,4.9,7.4,0.9,0.4,2.8,3.0,28.2,bookede01
52,Brandon Boston Jr.,SF,22,LAC,9,0,6.8,1.6,3.7,.424,0.4,1.6,.286,1.1,2.1,.526,.485,0.7,0.7,1.000,0.4,0.6,1.0,0.4,0.1,0.0,0.3,1.1,4.2,bostobr01
53,Chris Boucher,PF,31,TOR,42,0,14.2,2.1,4.5,.471,0.6,2.0,.321,1.5,2.5,.590,.542,1.3,1.8,.743,1.2,2.8,4.1,0.4,0.3,0.5,0.5,1.4,6.2,bouchch01
54,James Bouknight,SG,23,CHO,11,0,6.5,1.5,3.3,.444,1.1,2.4,.462,0.4,0.9,.400,.611,0.1,0.2,.500,0.1,0.7,0.8,0.5,0.0,0.1,0.1,0.2,4.1,bouknja01
55,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7,bouyeja01
56,Malaki Branham,PG,20,SAS,42,21,21.0,3.4,7.9,.433,1.0,3.1,.308,2.5,4.8,.515,.494,0.6,0.6,.926,0.3,1.7,2.0,2.3,0.4,0.1,1.2,1.3,8.4,branhma01
57,Christian Braun,SG,22,DEN,46,0,19.0,2.7,6.0,.451,0.7,1.9,.360,2.0,4.1,.492,.507,1.3,1.7,.725,0.7,2.8,3.5,1.5,0.4,0.4,0.7,1.5,7.3,braunch01
58,Mikal Bridges,SF,27,BRK,44,44,34.9,7.6,16.8,.455,2.3,6.3,.360,5.4,10.5,.511,.522,4.2,5.0,.833,0.9,4.3,5.1,3.8,0.9,0.5,2.3,1.6,21.7,bridgmi01
59,Miles Bridges,SF,25,CHO,32,30,36.9,7.9,17.2,.459,2.3,6.5,.357,5.6,10.7,.520,.526,2.8,3.2,.873,0.8,6.3,7.1,2.9,1.1,0.5,2.1,1.9,20.8,bridgmi02
60,Oshae Brissett,SF,25,BOS,27,0,11.7,1.4,3.0,.476,0.4,1.2,.303,1.1,1.8,.592,.537,1.0,1.4,.684,1.1,1.9,3.0,0.6,0.4,0.1,0.3,1.1,4.2,brissos01
61,Malcolm Brogdon,PG,31,POR,35,21,28.0,5.5,12.7,.437,2.2,5.1,.422,3.4,7.5,.447,.523,2.4,2.9,.816,0.6,2.9,3.5,5.3,0.7,0.2,1.5,1.4,15.7,brogdma01
62,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,brookar01
63,Dillon Brooks,SF,28,HOU,35,35,31.3,5.0,10.7,.463,1.9,4.8,.395,3.1,6.0,.517,.551,1.9,2.2,.833,0.7,2.7,3.4,1.6,1.0,0.1,1.5,3.6,13.7,brookdi01
64,Bruce Brown,SG-PG,27,TOT,37,34,29.2,4.5,9.3,.481,1.0,3.0,.327,3.5,6.4,.553,.533,1.9,2.3,.821,0.8,3.9,4.8,2.8,1.0,0.3,1.3,2.5,11.8,brownbr01
64,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1,brownbr01
64,Bruce Brown,PG,27,TOR,4,1,25.0,4.3,7.8,.548,0.8,2.3,.333,3.5,5.5,.636,.597,0.5,0.5,1.000,1.3,4.3,5.5,1.3,0.5,0.5,1.8,3.0,9.8,brownbr01
65,Charlie Brown Jr.,SG,26,NYK,3,0,1.7,0.3,1.3,.250,0.3,1.0,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,brownch02
66,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,browngr01
67,Jaylen Brown,SF,27,BOS,42,42,33.4,8.8,17.8,.495,2.2,6.0,.362,6.6,11.8,.564,.557,3.1,4.3,.718,0.9,4.3,5.2,3.7,1.1,0.6,2.5,2.6,23.0,brownja02
68,Kendall Brown,SG,20,IND,4,0,4.5,0.5,1.3,.400,0.0,0.3,.000,0.5,1.0,.500,.400,1.0,1.5,.667,0.5,0.0,0.5,0.3,0.0,0.0,0.0,1.0,2.0,brownke03
69,Kobe Brown,PF,24,LAC,26,0,9.7,0.8,2.2,.393,0.4,1.4,.306,0.4,0.8,.550,.491,0.0,0.1,.500,0.2,1.1,1.3,0.6,0.2,0.1,0.2,1.4,2.2,brownko01
70,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0,brownmo01
71,Troy Brown Jr.,SF,24,MIN,34,3,11.6,1.5,3.3,.442,0.9,2.4,.370,0.6,0.9,.625,.575,0.6,0.6,.864,0.4,1.6,2.0,1.0,0.2,0.1,0.5,0.7,4.4,browntr01
72,Jalen Brunson,PG,27,NYK,43,43,35.6,9.3,19.5,.478,2.8,6.6,.424,6.5,12.9,.505,.550,5.1,6.1,.836,0.6,3.2,3.8,6.4,0.9,0.2,2.4,2.1,26.5,brunsja01
73,Thomas Bryant,C,26,MIA,24,3,10.7,1.8,3.2,.571,0.0,0.2,.000,1.8,3.0,.603,.571,0.8,0.9,.818,1.0,2.1,3.2,0.6,0.3,0.2,0.6,1.1,4.4,bryanth01
74,Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,bufkiko01
75,Reggie Bullock,SF,32,HOU,18,0,9.2,0.9,2.1,.421,0.6,1.6,.393,0.3,0.6,.500,.566,0.1,0.1,1.000,0.1,1.2,1.3,0.5,0.2,0.1,0.3,0.5,2.4,bullore01
76,Alec Burks,SG,32,DET,37,0,20.5,3.8,9.7,.391,2.4,5.9,.402,1.4,3.8,.374,.514,2.8,3.1,.895,0.4,1.9,2.3,1.5,0.4,0.2,0.7,1.5,12.7,burksal01
77,Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,.560,0.6,1.4,.417,1.1,1.5,.692,.660,0.7,0.9,.800,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6,butleja02
78,Jimmy Butler,PF,34,MIA,30,30,33.5,6.5,13.3,.485,0.9,2.1,.413,5.6,11.2,.499,.518,6.9,7.9,.881,1.9,3.0,4.9,4.4,1.2,0.3,1.8,1.1,20.7,butleji01
79,Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7,cainja01
80,Kentavious Caldwell-Pope,SG,30,DEN,44,44,32.3,3.6,7.9,.454,1.5,3.8,.395,2.1,4.1,.508,.549,1.4,1.6,.900,0.5,1.9,2.3,2.4,1.4,0.5,1.0,1.9,10.1,caldwke01
81,Toumani Camara,PF,23,POR,44,29,24.3,2.5,6.2,.408,0.7,2.6,.278,1.8,3.6,.503,.467,1.0,1.5,.708,1.9,3.0,4.9,1.0,1.0,0.5,1.2,2.6,6.8,camarto01
82,Clint Capela,C,29,ATL,43,43,25.8,4.6,8.2,.567,0.0,0.0,,4.6,8.2,.567,.567,1.9,2.9,.659,4.7,5.7,10.3,1.0,0.6,1.6,0.9,2.5,11.1,capelca01
83,Jevon Carter,PG,28,CHI,44,0,14.0,2.0,5.4,.364,1.2,3.5,.338,0.8,1.9,.412,.473,0.1,0.1,.600,0.1,0.7,0.8,1.2,0.5,0.3,0.5,1.1,5.2,carteje01
