Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,38,623,14.8,.521,.244,.212,14.0,21.7,17.8,11.7,1.5,2.8,13.8,18.9,,0.2,0.8,1.0,.078,,-1.5,0.1,-1.4,0.1,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.3,22.1,17.1,14.1,1.8,2.4,13.3,21.3,,0.0,0.5,0.5,.058,,-1.4,0.0,-1.4,0.1,achiupr01
1,Precious Achiuwa,PF,24,NYK,13,186,14.3,.554,.128,.085,18.1,20.6,19.3,5.9,0.8,4.0,15.6,13.2,,0.2,0.3,0.5,.126,,-1.8,0.4,-1.4,0.0,achiupr01
2,Bam Adebayo,C,26,MIA,35,1224,20.2,.566,.020,.465,7.2,27.4,17.1,20.5,1.5,2.9,11.6,26.8,,1.4,1.9,3.4,.132,,0.8,1.3,2.1,1.3,adebaba01
3,Ochai Agbaji,SG,23,UTA,46,926,8.2,.536,.575,.086,4.1,9.8,7.0,5.8,1.3,2.6,12.0,12.3,,0.0,0.6,0.7,.034,,-2.7,-0.2,-2.9,-0.2,agbajoc01
4,Santi Aldama,PF,23,MEM,34,795,13.5,.538,.508,.180,5.5,21.2,13.1,12.4,1.3,2.9,10.3,19.8,,0.0,1.2,1.2,.071,,-0.6,0.7,0.1,0.4,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,45,1014,9.9,.565,.669,.116,2.2,6.7,4.6,14.8,1.9,2.2,13.7,13.2,,0.5,1.6,2.1,.100,,-1.8,2.0,0.3,0.6,alexani01
6,Grayson Allen,SG,28,PHO,40,1340,14.0,.699,.626,.204,2.7,11.1,7.1,11.9,1.3,1.6,12.9,14.5,,2.5,1.1,3.6,.128,,1.2,-0.3,0.9,1.0,allengr01
7,Jarrett Allen,C,25,CLE,38,1156,22.1,.679,.003,.370,13.3,24.3,18.9,14.5,1.4,3.3,14.0,18.4,,3.3,2.2,5.5,.226,,2.0,1.9,3.9,1.7,allenja01
8,Jose Alvarado,PG,25,NOP,28,445,13.3,.534,.581,.186,3.0,11.8,7.4,15.6,2.9,2.2,10.9,19.6,,0.1,0.7,0.8,.087,,-0.9,1.5,0.6,0.3,alvarjo01
9,Kyle Anderson,PF,30,MIN,45,1012,11.9,.519,.122,.371,3.7,13.6,9.0,24.2,1.7,2.3,17.9,14.6,,0.5,1.8,2.3,.107,,-1.9,2.6,0.7,0.7,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,43,1515,29.5,.646,.091,.588,8.6,26.8,18.0,30.0,1.8,2.6,13.2,33.2,,5.2,2.1,7.3,.233,,6.2,1.9,8.1,3.9,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,18,74,4.1,.500,.000,.000,6.1,5.7,5.9,14.7,1.3,3.3,36.4,12.6,,-0.1,0.1,-0.1,-0.035,,-7.6,-0.6,-8.2,-0.1,antetth01
12,Cole Anthony,PG,23,ORL,44,1064,14.6,.546,.353,.344,4.6,15.4,10.0,20.5,1.6,1.8,13.4,24.0,,0.5,1.5,2.0,.090,,-0.8,0.5,-0.3,0.5,anthoco01
13,OG Anunoby,SF,26,TOT,40,1367,13.3,.608,.478,.175,3.1,10.7,6.9,9.1,1.8,1.8,10.9,17.5,,1.2,1.3,2.5,.089,,-0.6,0.5,-0.1,0.6,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,12.6,.598,.508,.143,2.9,10.3,6.5,11.2,1.5,1.3,11.2,18.3,,0.6,0.6,1.2,.062,,-0.9,-0.5,-1.4,0.1,anunoog01
13,OG Anunoby,SF,26,NYK,13,467,14.8,.631,.413,.245,3.6,11.5,7.6,5.1,2.4,3.0,10.2,16.0,,0.6,0.7,1.4,.141,,-0.1,2.5,2.4,0.5,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,17,42,0.1,.000,1.000,.000,0.0,18.2,9.2,11.0,2.4,0.0,0.0,6.1,,-0.1,0.1,0.0,-0.026,,-10.7,2.8,-7.9,-0.1,arcidry01
15,Deni Avdija,SF,23,WAS,44,1210,14.7,.594,.290,.312,3.7,20.4,12.0,19.7,1.5,1.1,14.4,18.9,,1.1,0.7,1.8,.071,,-0.8,-0.2,-0.9,0.3,avdijde01
16,Deandre Ayton,C,25,POR,29,915,15.1,.555,.000,.125,10.9,27.8,18.8,8.1,1.7,2.0,14.7,18.3,,0.2,1.1,1.3,.066,,-2.3,-0.4,-2.6,-0.2,aytonde01
17,Udoka Azubuike,C,24,PHO,11,91,14.7,.719,.000,.474,12.1,19.2,15.8,4.7,0.0,5.8,14.8,12.9,,0.2,0.1,0.3,.132,,-2.4,0.2,-2.2,0.0,azubuud01
18,Ibou Badji,C,21,POR,12,163,9.4,.595,.000,.400,11.6,19.2,15.1,6.5,0.6,9.4,33.8,6.9,,0.0,0.2,0.2,.068,,-7.2,2.0,-5.2,-0.1,badjiib01
19,Marvin Bagley III,C,24,TOT,31,613,18.9,.631,.038,.382,12.5,17.5,14.9,8.3,0.7,2.3,11.5,21.6,,1.2,0.2,1.4,.110,,0.7,-1.8,-1.1,0.1,baglema01
19,Marvin Bagley III,C,24,DET,26,478,18.0,.638,.033,.337,10.5,17.3,13.8,8.7,0.5,2.4,12.2,20.9,,0.8,0.2,1.0,.101,,0.3,-1.7,-1.4,0.1,baglema01
19,Marvin Bagley III,C,24,WAS,5,135,22.2,.613,.053,.526,19.5,18.4,19.0,6.9,1.4,1.8,9.1,24.1,,0.3,0.1,0.4,.141,,2.1,-2.3,-0.2,0.1,baglema01
20,Amari Bailey,PG,19,CHO,2,11,3.6,.363,.333,.333,19.3,0.0,10.2,0.0,0.0,0.0,12.7,31.0,,-0.1,0.0,-0.1,-0.249,,-5.5,-8.4,-13.9,0.0,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,15,104,11.8,.621,.548,.323,5.1,25.0,14.9,7.5,0.4,2.3,12.4,16.4,,0.1,0.1,0.1,.068,,-2.5,-1.0,-3.5,0.0,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,711,20.6,.561,.466,.246,4.3,14.0,8.9,42.1,2.7,0.5,15.0,33.6,,0.6,0.4,1.0,.068,,3.5,-0.7,2.8,0.9,ballla01
23,Mo Bamba,C,25,PHI,24,215,21.3,.636,.254,.296,17.0,20.4,18.7,8.6,2.3,7.7,15.7,18.8,,0.4,0.4,0.9,.192,,0.7,1.3,2.1,0.2,bambamo01
24,Paolo Banchero,PF,21,ORL,45,1564,16.6,.536,.229,.412,3.7,19.4,11.5,23.2,1.4,1.6,13.0,30.0,,0.0,2.3,2.2,.068,,0.6,0.0,0.7,1.1,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.9,.597,.460,.201,2.8,12.0,7.3,27.9,1.4,1.4,11.6,28.7,,1.6,1.4,3.0,.113,,3.4,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,BOS,21,150,10.9,.511,.279,.419,8.9,14.3,11.7,11.3,1.6,1.8,15.0,17.2,,0.0,0.2,0.3,.087,,-4.5,0.8,-3.8,-0.1,bantoda01
27,Dominick Barlow,PF,20,SAS,19,244,13.3,.502,.103,.324,9.5,18.8,14.1,11.0,1.5,3.5,4.9,14.0,,0.2,0.2,0.4,.088,,-2.4,0.1,-2.3,0.0,barlodo01
28,Harrison Barnes,PF,31,SAC,43,1262,11.7,.634,.551,.280,3.2,7.8,5.4,5.4,1.1,0.5,7.2,14.4,,1.8,0.7,2.5,.095,,-0.7,-1.2,-1.9,0.0,barneha02
29,Scottie Barnes,SG,22,TOR,45,1582,19.7,.573,.343,.256,7.0,19.4,13.1,24.0,1.8,3.8,13.0,24.7,,1.9,1.9,3.8,.115,,3.1,1.2,4.3,2.5,barnesc01
30,RJ Barrett,SG,23,TOT,39,1203,15.5,.562,.311,.335,3.0,15.7,9.3,13.8,0.8,1.0,9.5,26.0,,1.0,1.1,2.2,.086,,0.1,-1.3,-1.3,0.2,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.1,.536,.335,.320,2.8,13.1,8.0,12.6,0.8,1.1,9.6,27.1,,0.4,0.8,1.2,.073,,-0.6,-1.6,-2.2,0.0,barrerj01
30,RJ Barrett,SG,23,TOR,13,437,17.9,.615,.262,.366,3.5,20.1,11.6,15.8,0.9,1.0,9.4,24.0,,0.7,0.3,1.0,.109,,1.3,-0.9,0.4,0.3,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,11.9,28.2,19.9,14.0,1.8,7.2,26.0,11.8,,0.3,0.3,0.6,.146,,-2.0,3.0,1.1,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.7,.348,.800,.080,1.5,12.9,7.3,9.9,0.6,2.4,3.7,15.3,,-0.1,0.1,0.0,-0.016,,-5.4,-0.7,-6.1,-0.1,batesem01
33,Keita Bates-Diop,SF,28,PHO,34,535,11.2,.510,.422,.252,6.1,13.0,9.8,7.8,1.9,2.6,5.7,12.9,,0.4,0.6,1.0,.086,,-1.7,0.2,-1.6,0.1,bateske01
34,Nicolas Batum,PF,35,TOT,32,796,12.1,.703,.721,.109,5.4,11.6,8.5,11.9,1.4,2.8,12.9,8.3,,1.4,1.0,2.4,.144,,0.3,1.0,1.4,0.7,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.8,.500,.875,.000,0.0,14.3,7.4,11.0,2.7,6.7,11.1,7.3,,0.0,0.1,0.1,.100,,-1.5,4.3,2.9,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,29,742,12.3,.716,.711,.116,5.8,11.4,8.6,11.9,1.3,2.5,13.0,8.4,,1.4,0.9,2.3,.147,,0.5,0.8,1.3,0.6,batumni01
35,Bradley Beal,SG,30,PHO,21,684,14.7,.587,.288,.205,3.0,11.5,7.5,19.2,1.2,1.0,13.1,23.2,,0.6,0.5,1.1,.075,,-0.7,-1.4,-2.2,0.0,bealbr01
36,Malik Beasley,SG,27,MIL,43,1263,11.5,.660,.715,.044,2.5,11.9,7.4,5.9,1.1,0.3,7.5,13.4,,1.7,0.8,2.5,.095,,0.1,-0.9,-0.8,0.4,beaslma01
37,MarJon Beauchamp,SF,23,MIL,34,534,8.4,.574,.459,.148,4.3,12.6,8.6,6.8,1.0,0.9,14.3,13.3,,0.1,0.3,0.4,.040,,-2.6,-1.0,-3.7,-0.2,beaucma01
38,Jules Bernard,SG,24,WAS,4,16,-15.3,.111,.778,.000,6.6,0.0,3.3,7.5,0.0,0.0,10.0,26.4,,-0.2,0.0,-0.2,-0.511,,-19.6,-8.7,-28.3,-0.1,bernaju01
39,Dāvis Bertāns,PF,31,OKC,14,91,17.2,.675,.923,.577,2.6,9.3,6.2,12.0,1.6,3.1,3.0,16.0,,0.3,0.1,0.4,.227,,3.2,0.8,4.0,0.1,bertada01
40,Patrick Beverley,PG,35,PHI,40,742,10.6,.528,.492,.271,3.9,14.2,9.1,18.2,1.4,1.6,14.4,13.5,,0.5,0.9,1.4,.088,,-2.0,0.4,-1.6,0.1,beverpa01
