Rank ,Player,Age,Team,First,Pts Won,Pts Max,Share,Award,Year
1,Nikola Jokić,28,DEN,79,926,990,0.935,MVP,23/24
2,Shai Gilgeous-Alexander,25,OKC,15,640,990,0.646,MVP,23/24
3,Luka Dončić,24,DAL,4,566,990,0.572,MVP,23/24
4,Giannis Antetokounmpo,29,MIL,1,192,990,0.194,MVP,23/24
5,Jalen Brunson,27,NYK,0,142,990,0.143,MVP,23/24
6,Jayson Tatum,25,BOS,0,86,990,0.087,MVP,23/24
7,Anthony Edwards,22,MIN,0,18,990,0.018,MVP,23/24
8,Domantas Sabonis,27,SAC,0,3,990,0.003,MVP,23/24
9,Kevin Durant,35,PHO,0,1,990,0.001,MVP,23/24
1,Victor Wembanyama,20,SAS,99,495,495,1.000,ROTY,23/24
2,Chet Holmgren,21,OKC,0,295,495,0.596,ROTY,23/24
3,Brandon Miller,21,CHO,0,86,495,0.174,ROTY,23/24
4,Jaime Jaquez Jr.,22,MIA,0,10,495,0.020,ROTY,23/24
5,Brandin Podziemski,20,GSW,0,4,495,0.008,ROTY,23/24
6,Dereck Lively II,19,DAL,0,1,495,0.002,ROTY,23/24
1,Rudy Gobert,31,MIN,72,433,495,0.875,DPOY,23/24
2,Victor Wembanyama,20,SAS,19,245,495,0.495,DPOY,23/24
3,Bam Adebayo,26,MIA,3,91,495,0.184,DPOY,23/24
4,Anthony Davis,30,LAL,4,83,495,0.168,DPOY,23/24
5,Herbert Jones,25,NOP,0,14,495,0.028,DPOY,23/24
6,Jrue Holiday,33,BOS,1,7,495,0.014,DPOY,23/24
7,Shai Gilgeous-Alexander,25,OKC,0,6,495,0.012,DPOY,23/24
8,Derrick White,29,BOS,0,5,495,0.010,DPOY,23/24
9,Giannis Antetokounmpo,29,MIL,0,3,495,0.006,DPOY,23/24
10T,Jarrett Allen,25,CLE,0,1,495,0.002,DPOY,23/24
10T,Alex Caruso,29,CHI,0,1,495,0.002,DPOY,23/24
10T,Domantas Sabonis,27,SAC,0,1,495,0.002,DPOY,23/24
10T,Jalen Suggs,22,ORL,0,1,495,0.002,DPOY,23/24
1,Naz Reid,24,MIN,45,352,495,0.711,6MOY,23/24
